company_id,year,Debt to Equity,Interest Coverage,Debt Ratio
CANBK,Mar 2016,15.63,3.38,1.0
CANBK,Mar 2017,15.42,2.0,1.0
CANBK,Mar 2018,15.28,3.46,1.0
CANBK,Mar 2019,16.99,2.75,1.0
CANBK,Mar 2020,16.22,2.27,1.0
CANBK,Mar 2021,17.0,1.88,1.0
CANBK,Mar 2022,16.19,1.74,1.0
CANBK,Mar 2023,15.85,1.69,1.0
CANBK,Mar 2024,14.87,1.61,1.0
CHOLAFIN,Mar 2013,7.82,688.0,1.0
CHOLAFIN,Mar 2014,7.9,932.0,1.0
CHOLAFIN,Mar 2015,7.46,,1.0
CHOLAFIN,Mar 2016,6.14,633.0,1.0
CHOLAFIN,Mar 2017,5.6,440.67,1.0
CHOLAFIN,Mar 2018,7.48,,1.0
CHOLAFIN,Mar 2019,8.15,1632.0,1.0
CHOLAFIN,Mar 2020,6.71,,1.0
CHOLAFIN,Mar 2021,6.64,52.02,1.0
CHOLAFIN,Mar 2022,5.88,34.83,1.0
CHOLAFIN,Mar 2023,6.79,16.46,1.0
CHOLAFIN,Mar 2024,6.86,21.12,1.0
CIPLA,Mar 2013,0.11,24.76,1.0
CIPLA,Mar 2014,0.12,31.98,1.0
CIPLA,Mar 2015,0.16,55.99,1.0
CIPLA,Mar 2016,0.45,54.38,1.0
CIPLA,Mar 2017,0.33,57.2,1.0
CIPLA,Mar 2018,0.29,44.03,1.0
CIPLA,Mar 2019,0.29,27.81,1.0
CIPLA,Mar 2020,0.18,40.48,1.0
CIPLA,Mar 2021,0.11,56.04,1.0
CIPLA,Mar 2022,0.05,173.85,1.0
CIPLA,Mar 2023,0.03,60.5,1.0
CIPLA,Mar 2024,0.02,35.3,1.0
COALINDIA,Mar 2013,0.03,5.74,1.0
COALINDIA,Mar 2014,0.0,7.37,1.0
COALINDIA,Mar 2015,0.01,8.64,1.0
COALINDIA,Mar 2016,0.03,9.96,1.0
COALINDIA,Mar 2017,0.12,12.36,1.0
COALINDIA,Mar 2018,0.08,15.27,1.0
COALINDIA,Mar 2019,0.08,12.78,1.0
COALINDIA,Mar 2020,0.2,11.56,1.0
COALINDIA,Mar 2021,0.16,19.08,1.0
COALINDIA,Mar 2022,0.08,21.99,1.0
COALINDIA,Mar 2023,0.07,14.33,1.0
COALINDIA,Mar 2024,0.08,11.24,1.0
DABUR,Mar 2013,0.55,16.81,1.0
DABUR,Mar 2014,0.27,21.52,1.0
DABUR,Mar 2015,0.22,33.0,1.0
DABUR,Mar 2016,0.19,31.62,1.0
DABUR,Mar 2017,0.2,28.0,1.0
DABUR,Mar 2018,0.16,30.51,1.0
DABUR,Mar 2019,0.12,29.0,1.0
DABUR,Mar 2020,0.08,35.84,1.0
DABUR,Mar 2021,0.07,64.58,1.0
DABUR,Mar 2022,0.12,57.74,1.0
DABUR,Mar 2023,0.13,27.72,1.0
DABUR,Mar 2024,0.14,19.35,1.0
DIVISLAB,Mar 2013,0.01,272.0,1.0
DIVISLAB,Mar 2014,0.01,339.33,1.0
DIVISLAB,Mar 2015,0.01,391.0,1.0
DIVISLAB,Mar 2016,0.01,284.6,1.0
DIVISLAB,Mar 2017,0.01,483.33,1.0
DIVISLAB,Mar 2018,0.01,634.5,1.0
DIVISLAB,Mar 2019,0.02,374.8,1.0
DIVISLAB,Mar 2020,0.01,260.86,1.0
DIVISLAB,Mar 2021,0.0,1433.5,1.0
DIVISLAB,Mar 2022,0.0,1942.5,1.0
DIVISLAB,Mar 2023,0.0,1185.0,1.0
DIVISLAB,Mar 2024,0.0,552.5,1.0
DLF,Mar 2013,1.03,1.14,1.0
DLF,Mar 2014,0.88,1.01,1.0
DLF,Mar 2015,0.89,1.31,1.0
DLF,Mar 2016,1.05,1.48,1.0
DLF,Mar 2017,1.19,1.16,1.0
DLF,Mar 2018,0.5,0.81,1.0
DLF,Mar 2019,0.51,1.04,1.0
DLF,Mar 2020,0.24,0.8,1.0
DLF,Mar 2021,0.19,1.72,1.0
DLF,Mar 2022,0.12,2.79,1.0
DLF,Mar 2023,0.09,4.4,1.0
DLF,Mar 2024,0.12,5.97,1.0
DMART,Mar 2013,0.67,5.0,1.0
DMART,Mar 2014,0.67,6.09,1.0
DMART,Mar 2015,0.75,6.33,1.0
DMART,Mar 2016,0.78,7.3,1.0
DMART,Mar 2017,0.39,7.94,1.0
DMART,Mar 2018,0.09,22.55,1.0
DMART,Mar 2019,0.13,34.74,1.0
DMART,Mar 2020,0.03,30.84,1.0
DMART,Mar 2021,0.03,41.55,1.0
DMART,Mar 2022,0.05,46.33,1.0
DMART,Mar 2023,0.04,54.31,1.0
DMART,Mar 2024,0.03,70.79,1.0
DRREDDY,Mar 2013,0.58,26.69,1.0
DRREDDY,Mar 2014,0.57,25.6,1.0
DRREDDY,Mar 2015,0.44,32.48,1.0
DRREDDY,Mar 2016,0.27,43.19,1.0
DRREDDY,Mar 2017,0.4,31.29,1.0
DRREDDY,Mar 2018,0.4,29.76,1.0
DRREDDY,Mar 2019,0.27,35.71,1.0
DRREDDY,Mar 2020,0.14,25.28,1.0
DRREDDY,Mar 2021,0.17,39.94,1.0
DRREDDY,Mar 2022,0.18,39.25,1.0
DRREDDY,Mar 2023,0.06,45.24,1.0
DRREDDY,Mar 2024,0.07,46.39,1.0
EICHERMOT,Dec 2012,0.01,137.5,1.0
EICHERMOT,Dec 2013,0.04,89.38,1.0
EICHERMOT,Dec 2014,0.02,111.8,1.0
EICHERMOT,Mar 2016,0.01,845.0,1.0
EICHERMOT,Mar 2017,0.02,543.5,1.0
EICHERMOT,Mar 2018,0.02,561.8,1.0
EICHERMOT,Mar 2019,0.02,414.86,1.0
EICHERMOT,Mar 2020,0.02,114.89,1.0
EICHERMOT,Mar 2021,0.02,111.44,1.0
EICHERMOT,Mar 2022,0.01,114.63,1.0
EICHERMOT,Mar 2023,0.02,123.07,1.0
EICHERMOT,Mar 2024,0.02,84.88,1.0
GAIL,Mar 2013,0.57,17.0,1.0
GAIL,Mar 2014,0.57,11.94,1.0
GAIL,Mar 2015,0.54,8.64,1.0
GAIL,Mar 2016,0.25,5.52,1.0
GAIL,Mar 2017,0.17,11.83,1.0
GAIL,Mar 2018,0.09,26.45,1.0
GAIL,Mar 2019,0.05,62.5,1.0
GAIL,Mar 2020,0.14,29.2,1.0
GAIL,Mar 2021,0.15,40.47,1.0
GAIL,Mar 2022,0.14,75.05,1.0
GAIL,Mar 2023,0.27,20.55,1.0
GAIL,Mar 2024,0.28,19.91,1.0
GODREJCP,Mar 2013,0.74,11.44,1.0
GODREJCP,Mar 2014,0.63,9.74,1.0
GODREJCP,Mar 2015,0.63,12.31,1.0
GODREJCP,Mar 2016,0.68,12.95,1.0
GODREJCP,Mar 2017,0.75,12.38,1.0
GODREJCP,Mar 2018,0.56,12.05,1.0
GODREJCP,Mar 2019,0.47,8.96,1.0
GODREJCP,Mar 2020,0.45,9.45,1.0
GODREJCP,Mar 2021,0.2,17.38,1.0
GODREJCP,Mar 2022,0.15,19.75,1.0
GODREJCP,Mar 2023,0.08,12.99,1.0
GODREJCP,Mar 2024,0.26,9.54,1.0
GRASIM,Mar 2013,0.49,18.28,1.0
GRASIM,Mar 2014,0.45,11.0,1.0
GRASIM,Mar 2015,0.52,7.71,1.0
GRASIM,Mar 2016,0.46,8.23,1.0
GRASIM,Mar 2017,0.29,10.52,1.0
GRASIM,Mar 2018,1.17,3.17,1.0
GRASIM,Mar 2019,1.46,2.75,1.0
GRASIM,Mar 2020,1.5,1.51,1.0
GRASIM,Mar 2021,1.21,3.26,1.0
GRASIM,Mar 2022,0.99,4.28,1.0
GRASIM,Mar 2023,1.31,3.57,1.0
GRASIM,Mar 2024,1.55,2.93,1.0
HAL,Mar 2016,0.15,413.0,1.0
HAL,Mar 2017,0.02,202.25,1.0
HAL,Mar 2018,0.02,98.86,1.0
HAL,Mar 2019,0.06,25.81,1.0
HAL,Mar 2020,0.01,13.59,1.0
HAL,Mar 2021,0.04,20.0,1.0
HAL,Mar 2022,0.08,83.38,1.0
HAL,Mar 2023,0.27,104.2,1.0
HAL,Mar 2024,0.62,226.72,1.0
HCLTECH,Jun 2013,0.08,53.58,1.0
HCLTECH,Jun 2014,0.05,70.48,1.0
HCLTECH,Jun 2015,0.03,93.25,1.0
HCLTECH,Mar 2017,0.02,116.74,1.0
HCLTECH,Mar 2018,0.02,162.99,1.0
HCLTECH,Mar 2019,0.1,80.03,1.0
HCLTECH,Mar 2020,0.16,34.29,1.0
HCLTECH,Mar 2021,0.11,39.23,1.0
HCLTECH,Mar 2022,0.1,64.35,1.0
HCLTECH,Mar 2023,0.07,64.1,1.0
HCLTECH,Mar 2024,0.08,43.76,1.0
HAVELLS,Mar 2013,0.68,5.48,1.0
HAVELLS,Mar 2014,0.63,7.62,1.0
HAVELLS,Mar 2015,0.23,7.86,1.0
HAVELLS,Mar 2016,0.04,8.75,1.0
HAVELLS,Mar 2017,0.06,62.69,1.0
HAVELLS,Mar 2018,0.03,41.32,1.0
HAVELLS,Mar 2019,0.02,74.31,1.0
HAVELLS,Mar 2020,0.02,20.92,1.0
HAVELLS,Mar 2021,0.1,17.66,1.0
HAVELLS,Mar 2022,0.1,26.49,1.0
HAVELLS,Mar 2023,0.03,29.47,1.0
HAVELLS,Mar 2024,0.04,22.39,1.0
HDFCBANK,Mar 2013,9.16,1.77,1.0
HDFCBANK,Mar 2014,9.43,1.63,1.0
HDFCBANK,Mar 2015,8.07,1.69,1.0
HDFCBANK,Mar 2016,8.74,1.79,1.0
HDFCBANK,Mar 2017,8.08,1.85,1.0
HDFCBANK,Mar 2018,8.62,1.84,1.0
HDFCBANK,Mar 2019,7.03,1.84,1.0
HDFCBANK,Mar 2020,7.56,1.83,1.0
HDFCBANK,Mar 2021,7.2,1.92,1.0
HDFCBANK,Mar 2022,7.22,1.78,1.0
HDFCBANK,Mar 2023,7.39,1.86,1.0
HDFCBANK,Mar 2024,6.81,1.4,1.0
HDFCLIFE,Mar 2013,0.0,483.39,1.0
HDFCLIFE,Mar 2014,0.0,68.72,1.0
HDFCLIFE,Mar 2015,0.0,333.43,1.0
HDFCLIFE,Mar 2016,0.0,159.14,1.0
HDFCLIFE,Mar 2017,0.0,213.48,1.0
HDFCLIFE,Mar 2018,0.0,110.59,1.0
HDFCLIFE,Mar 2019,0.0,276.76,1.0
HDFCLIFE,Mar 2020,0.0,76.53,1.0
HDFCLIFE,Mar 2021,0.07,157.96,1.0
HDFCLIFE,Mar 2022,0.04,86.62,1.0
HDFCLIFE,Mar 2023,0.07,48.8,1.0
HDFCLIFE,Mar 2024,0.06,192.29,1.0
HEROMOTOCO,Mar 2014,0.05,50.52,1.0
HEROMOTOCO,Mar 2015,0.02,73.9,1.0
HEROMOTOCO,Mar 2016,0.03,57.09,1.0
HEROMOTOCO,Mar 2017,0.03,28.95,1.0
HEROMOTOCO,Mar 2018,0.02,48.09,1.0
HEROMOTOCO,Mar 2019,0.02,39.06,1.0
HEROMOTOCO,Mar 2020,0.03,17.56,1.0
HEROMOTOCO,Mar 2021,0.04,48.65,1.0
HEROMOTOCO,Mar 2022,0.04,48.25,1.0
HEROMOTOCO,Mar 2023,0.03,53.02,1.0
HEROMOTOCO,Mar 2024,0.03,47.25,1.0
HINDALCO,Mar 2013,1.61,65.25,1.0
HINDALCO,Mar 2014,1.59,117.68,1.0
HINDALCO,Mar 2015,1.79,-114.71,1.0
HINDALCO,Mar 2016,1.66,60.65,1.0
HINDALCO,Mar 2017,1.39,73.34,1.0
HINDALCO,Mar 2018,0.95,35.25,1.0
HINDALCO,Mar 2019,0.91,102.07,1.0
HINDALCO,Mar 2020,1.17,114.61,1.0
HINDALCO,Mar 2021,1.01,-115.96,1.0
HINDALCO,Mar 2022,0.82,133.05,1.0
HINDALCO,Mar 2023,0.64,153.43,1.0
HINDALCO,Mar 2024,0.53,126.46,1.0
HINDUNILVR,Mar 2013,0.01,20.29,1.0
HINDUNILVR,Mar 2014,0.01,30.9,1.0
HINDUNILVR,Mar 2015,0.01,21.3,1.0
HINDUNILVR,Mar 2016,0.03,54.07,1.0
HINDUNILVR,Mar 2017,0.04,44.28,1.0
HINDUNILVR,Mar 2018,0.0,79.45,1.0
HINDUNILVR,Mar 2019,0.01,94.5,1.0
HINDUNILVR,Mar 2020,0.0,70.57,1.0
HINDUNILVR,Mar 2021,0.0,208.25,1.0
