id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,Net Profit Margin,Operating Profit Margin,ROE,ROCE,ROA,Difference
820,KOTAKBANK,Mar 2018,25131,12467,16805.0,-4141.0,-16,13682,383,9158,33.0,6258,33.0,2.0,1000,953.0,49535,249840,37392,337720,2543,0,90977,244201,337720,24.9,66.87,12.4,5.6,1.85,4207.87
821,KOTAKBANK,Mar 2019,29831,15187,19758.0,-5114.0,-17,16148,458,10576,33.0,7204,38.0,2.0,1001,954.0,56827,291763,45626,395171,2697,0,103487,288987,395171,24.15,66.23,12.47,5.65,1.82,5180.23
822,KOTAKBANK,Mar 2020,33474,15901,22578.0,-5005.0,-15,16892,465,11422,25.0,8593,45.0,0.0,1002,957.0,65680,326477,50059,443173,2675,0,111197,329301,443173,25.67,67.45,12.9,5.74,1.94,5072.45
823,KOTAKBANK,Mar 2021,32820,12967,29812.0,-9958.0,-30,23588,461,13168,25.0,9990,50.0,2.0,1003,991.0,83348,327110,67405,478854,2554,0,156946,319355,478854,30.44,90.83,11.85,7.25,2.09,10048.83
824,KOTAKBANK,Mar 2022,33741,11554,30699.0,-8512.0,-25,24941,480,15948,25.0,12089,61.0,2.0,1004,992.0,95673,365747,84086,546498,2723,0,164529,379245,546498,35.83,90.98,12.51,6.64,2.21,8602.98
825,KOTAKBANK,Mar 2023,42151,14411,33485.0,-5746.0,-14,25991,599,19646,25.0,14925,75.0,2.0,1005,993.0,110821,418807,89809,620430,3075,0,195338,422017,620430,35.41,79.44,13.35,6.31,2.41,5825.44
826,KOTAKBANK,Mar 2024,56237,22567,47052.0,-13382.0,-24,38037,792,23863,25.0,18213,92.0,2.0,1006,994.0,128978,520374,117321,767667,3510,0,246446,517711,767667,32.39,83.67,14.01,7.23,2.37,13465.67
1131,SUNPHARMA,Mar 2024,48497,35479,13018.0,28.0,865,238,2557,11088,13.0,9610,40.0,34.0,1321,240.0,63427,3274,18367,85308,23211,5354,15026,41717,85308,19.82,26.84,15.09,19.45,11.27,1.1600000000000001
1362,INDIGO,Mar 2013,9203,73,8348.0,855.0,9,296,86,993,21.0,787,25647.0,70.0,757,0.4,4,11,11,26,5,0,0,21,26,8.55,90.71,17886.36,54207.79,3026.92,764.29
1363,INDIGO,Mar 2014,11117,123,10684.0,433.0,4,391,226,475,0.0,474,15454.0,80.0,758,0.4,4,14,16,35,10,0,0,25,35,4.26,96.11,10772.73,58065.22,1354.29,336.89
1364,INDIGO,Mar 2015,13925,150,12022.0,1904.0,14,395,302,1847,29.0,1304,42481.0,83.0,759,0.4,26,4,30,61,12,1,1,46,61,9.36,86.33,4939.39,39546.05,2137.7,1817.67
1365,INDIGO,Mar 2016,16140,350,12976.0,3164.0,20,515,505,2824,30.0,1986,55.0,27.0,760,0.4,129,8,58,196,13,0,124,58,196,12.3,80.4,1534.78,9443.96,1013.27,3083.6
1366,INDIGO,Mar 2017,18580,406,16362.0,2219.0,12,789,457,2144,23.0,1659,46.0,74.0,761,29.0,69,52,97,246,91,2,16,137,246,8.93,88.06,1692.86,10908.0,674.39,2130.94
1367,INDIGO,Mar 2018,23021,413,19991.0,3030.0,13,947,437,3127,28.0,2242,58.0,10.0,762,29.0,71,54,125,279,95,2,15,167,279,9.74,86.84,2242.0,12981.17,803.58,2943.16
1368,INDIGO,Mar 2019,28497,563,28648.0,-151.0,-1,1325,760,-149,-99.0,156,4.0,123.0,763,29.0,100,88,156,373,149,4,20,201,373,0.55,100.53,120.93,13201.84,41.82,251.53
1369,INDIGO,Mar 2020,35756,1902,31687.0,4069.0,11,1531,3974,-275,-10.0,-248,-6.0,0.0,764,29.0,150,75,169,422,201,1,21,199,422,-0.69,88.62,-138.55,12475.2,-58.77,3980.38
1370,INDIGO,Mar 2021,14641,2170,14638.0,2.0,0,1036,4699,-5830,0.0,-6171,-151.0,0.0,765,48.0,516,9,239,811,249,3,50,509,811,-42.15,99.98,-1094.15,2554.62,-760.91,97.98
1371,INDIGO,Mar 2022,25931,2386,25373.0,558.0,2,725,5068,-6171,0.0,-317,-160.0,0.0,766,48.0,602,12,258,920,253,51,173,442,920,-1.22,97.85,-48.77,3832.78,-34.46,460.15
1372,INDIGO,Mar 2023,54446,3168,47926.0,6521.0,12,1431,5101,-317,0.0,-317,-8.0,0.0,767,48.0,729,12,274,1062,265,251,132,414,1062,-0.58,88.02,-40.8,6074.27,-29.85,6432.98
1373,INDIGO,Mar 2024,68904,4805,52573.0,16331.0,24,2326,6406,8043,-2.0,8167,212.0,0.0,768,48.0,867,17,290,1222,548,15,188,471,1222,11.85,76.3,892.57,5640.88,668.33,16254.7
